	f6ppA	f20ppA	F7H1	w13pp	f4pp	f14ppB	w24pp	f7pp	S13Hp	f10pp	f1pp	w9pp	S17H1
f6ppA	0.0	0.46785996686873615	0.8768923117091357	1.0360192249651363	0.713765406506751	0.815872610649081	0.7768413596112643	0.6677576758451402	1.7817182195069592	0.6735710996116195	0.7106895075288067	0.6552390260662109	0.821972907805929
f20ppA	0.46785996686873615	0.0	0.7177116906010026	0.8768386038570031	0.5545847853986179	0.656691989540948	0.6176607385031312	0.5085770547370072	1.6225375983988262	0.5143904785034864	0.5515088864206735	0.49605840495807774	0.6627922866977959
F7H1	0.8768923117091357	0.7177116906010026	0.0	0.7678054498815572	0.445551631423172	0.7357152649396947	0.696684013901878	0.5876003301357539	1.7358213299672824	0.6276742100719427	0.6647926179891298	0.7071972728771102	0.977560861590251
w13pp	1.0360192249651363	0.8768386038570031	0.7678054498815572	0.0	0.34265680524024134	0.894842178195695	0.8558109271578783	0.7467272433917542	1.8949482432232827	0.786801123327943	0.8239195312451302	0.8663241861331107	1.1366877748462514
f4pp	0.713765406506751	0.5545847853986179	0.445551631423172	0.34265680524024134	0.0	0.57258835973731	0.5335571086994932	0.42447342493336915	1.5726944247648977	0.464547304869558	0.5016657127867451	0.5440703676747255	0.8144339563878663
f14ppB	0.815872610649081	0.656691989540948	0.7357152649396947	0.894842178195695	0.57258835973731	0.0	0.4543684060924709	0.3452847223263468	1.6748016289072276	0.566654509011888	0.6037729169290751	0.6461775718170556	0.9165411605301963
w24pp	0.7768413596112643	0.6176607385031312	0.696684013901878	0.8558109271578783	0.5335571086994932	0.4543684060924709	0.0	0.10908568376712414	1.6357703778694108	0.5276232579740713	0.5647416658912584	0.6071463207792388	0.8775099094923796
f7pp	0.6677576758451402	0.5085770547370072	0.5876003301357539	0.7467272433917542	0.42447342493336915	0.3452847223263468	0.10908568376712414	0.0	1.5266866941032868	0.4185395742079472	0.4556579821251343	0.4980626370131148	0.7684262257262555
S13Hp	1.7817182195069592	1.6225375983988262	1.7358213299672824	1.8949482432232827	1.5726944247648977	1.6748016289072276	1.6357703778694108	1.5266866941032868	0.0	1.5324981178687662	1.5696165257859533	1.6120231806749337	1.8823867693880745
f10pp	0.6735710996116195	0.5143904785034864	0.6276742100719427	0.786801123327943	0.464547304869558	0.566654509011888	0.5276232579740713	0.4185395742079472	1.5324981178687662	0.0	0.2621585238432559	0.503876060779594	0.7742396494927348
f1pp	0.7106895075288067	0.5515088864206735	0.6647926179891298	0.8239195312451302	0.5016657127867451	0.6037729169290751	0.5647416658912584	0.4556579821251343	1.5696165257859533	0.2621585238432559	0.0	0.5409944686967811	0.811358057409922
w9pp	0.6552390260662109	0.49605840495807774	0.7071972728771102	0.8663241861331107	0.5440703676747255	0.6461775718170556	0.6071463207792388	0.4980626370131148	1.6120231806749337	0.503876060779594	0.5409944686967811	0.0	0.7559075759473262
S17H1	0.821972907805929	0.6627922866977959	0.977560861590251	1.1366877748462514	0.8144339563878663	0.9165411605301963	0.8775099094923796	0.7684262257262555	1.8823867693880745	0.7742396494927348	0.811358057409922	0.7559075759473262	0.0
