	s9pp	f28pp	f22ppA	w24pp	s10pp	s12pp	s18pp	f25pp	f9pp	S1Hp	F6H1	w30pp	w9pp	s27pp	w11pp	s20pp	w32pp	s13pp	w17pp	f10pp	w16pp	f16ppB	w12pp	f12ppB	f22ppB	f32pp	s25pp	w8pp	f31pp	w28pp	w2pp	f14ppB	f6ppB	f7pp	w10pp	f11pp	f18pp	w31pp	f23ppA	f2pp	f15pp	f3pp	w15pp	s17pp	w26pp	w27pp	f8pp	w18pp	w6pp	s2pp	w20pp	s28pp	s32pp	S3Hp	s6pp	S30H1	w23pp	S23Hp	S15Hp	S9H1	F7H1	S27H1	s14pp	S14Hp	w14pp	s23pp	w7pp	s7pp	s15pp	F14H1A	s26pp	F8H1	s4pp	f16ppA	s16pp	f19pp	f26pp	f1pp	w3pp	w1pp	w4pp	s3pp	f17ppB	f4pp	f30pp	f13pp	w21pp	f20ppB	f21pp	f6ppA	f12ppA	f14ppA	s1pp	s30pp	f23ppB	s31pp	w22pp	S19H1	S12Hp	s19pp	S20H1	F16H1	S22Hp	F3H1	S26Hp	f20ppA	f24pp	w29pp	f29pp	w13pp	w19pp	s29pp	w25pp	f17ppA	s24pp	s22pp	530451	530295	S16H2	s21pp	s11pp
s9pp	0.0	0.07386635204606733	0.06933696073906087	0.08388914798575735	0.08645275562175005	0.08724052166643055	0.09028594920554897	0.08787619774765616	0.13751329209450452	0.210422088883352	0.22964085947363566	0.24082802587564267	0.18221428050439092	0.10823136060570741	0.0963029501307032	0.16760415337113904	0.11955656234934157	0.16484416054080164	0.09198873383709964	0.0928102010964481	0.09324963614030629	0.08787819774865621	0.0878771977481562	0.08787519774715613	0.09123982299916966	0.09123982299916966	0.10965627036369512	0.11973467258798869	0.11017310080165454	0.11318802465600032	0.10468575289308597	0.09764896480255479	0.09849856008277379	0.09764896480255479	0.09764896480255479	0.10888827136680679	0.10706198222336132	0.122867789805683	0.1146656848484628	0.11103156941673342	0.11158849064164027	0.11708812139282442	0.10644737449658448	0.16462275193794532	0.11167457850094106	0.11167457850094106	0.1013562252486929	0.1013562252486929	0.12137373937067006	0.11268459053650695	0.11079740312524355	0.15338005957481105	0.21491259665061202	0.3849681349215444	0.28989076928460344	0.3785866336011123	0.13757711075477047	0.255325252379326	0.2326584731444412	0.3936114225848784	0.4085036965008872	0.4149119439352717	0.36182979503158763	0.3741033302050633	0.2828725235272501	0.17059623395691592	0.200014014262074	0.17497075007926563	0.19797089641607524	0.3774676007510341	0.24706601778105525	0.35136621950237124	0.26338535543104286	0.11123953697285431	0.2031680007215389	0.1140547862581655	0.11584962430384582	0.11584962430384582	0.11867310952101118	0.11909263029450805	0.12564598546011624	0.12950672402999774	0.11669789694739284	0.11123953697285431	0.10830766718188131	0.11471763620760422	0.11660431327634053	0.11841945679270896	0.11360492873308672	0.11268499188603642	0.11035609782002197	0.11224492898898353	0.1391552150817732	0.1426052170188002	0.12750549813059026	0.17935920607169753	0.16333027000755967	0.38004648087073123	0.2944998065520375	0.22199087334513634	0.3446080351520963	0.3687669413563951	0.36502111252179636	0.35770206350032685	0.3577297132677236	0.10556066557181154	0.09504403935071094	0.11093788245681488	0.10065629148105626	0.10065629148105626	0.10359980092905013	0.11894468447015231	0.09281320932481447	0.08324095550629325	0.08367114020070901	0.17024429468035257	0.30417117045199604	0.34929072342660933	0.35144544429332475	0.1304138456487639	0.1387062946353662
f28pp	0.07386635204606733	0.0	0.023497326156215203	0.038049513402911676	0.04061312103890437	0.04140088708358488	0.04444631462270329	0.042036563164810484	0.09167365751165887	0.16458245430050633	0.18380122489078998	0.194988391292797	0.13637464592154527	0.062391726022861735	0.05046331554785752	0.12176451878829336	0.0737169277664959	0.11900452595795596	0.046149099254253964	0.04697056651360242	0.04741000155746062	0.04203856316581054	0.042037563165310515	0.04203556316431045	0.04540018841632399	0.04540018841632399	0.06381663578084944	0.07389503800514301	0.06433346621880887	0.06734839007315464	0.058846118310240295	0.05180933021970911	0.05265892549992811	0.05180933021970911	0.05180933021970911	0.06304863678396111	0.06122234764051564	0.07702815522283732	0.06882605026561713	0.06519193483388774	0.06574885605879459	0.07124848680997874	0.0606077399137388	0.11878311735509964	0.06583494391809538	0.06583494391809538	0.055516590665847215	0.055516590665847215	0.07553410478782438	0.06684495595366127	0.06495776854239788	0.10754042499196537	0.16907296206776637	0.33912850033869874	0.24405113470175777	0.3327469990182666	0.09173747617192482	0.20948561779648037	0.18681883856159553	0.34777178800203273	0.3626640619180415	0.369072309352426	0.31599016044874195	0.32826369562221763	0.23703288894440447	0.12475659937407024	0.15417437967922834	0.12913111549641995	0.1521312618332296	0.3316279661681884	0.2012263831982096	0.30552658491952556	0.2175457208481972	0.06539990239000863	0.15732836613869322	0.06821515167531982	0.07000998972100014	0.07000998972100014	0.0728334749381655	0.07325299571166237	0.07980635087727056	0.0836670894471521	0.07085826236454716	0.06539990239000863	0.06246803259903563	0.06887800162475854	0.07076467869349486	0.07257982220986328	0.06776529415024105	0.06684535730319074	0.06451646323717629	0.06640529440613785	0.09331558049892752	0.09676558243595451	0.08166586354774458	0.13351957148885182	0.117490635424714	0.33420684628788555	0.24866017196919182	0.1761512387622907	0.29876840056925064	0.3229273067735494	0.3191814779389507	0.31186242891748117	0.31189007868487795	0.05972103098896587	0.049204404767865265	0.0650982478739692	0.05481665689821058	0.05481665689821058	0.057760166346204456	0.07310504988730664	0.046973574741968796	0.03740132092344757	0.03783150561786334	0.12440466009750692	0.25833153586915036	0.30345108884376365	0.30560580971047907	0.08457421106591823	0.10966546572149971
f22ppA	0.06933696073906087	0.023497326156215203	0.0	0.014554187247696535	0.01711779488368922	0.017905560928369736	0.02095098846748815	0.018541237009595337	0.06817833135644373	0.14108712814529117	0.16030589873557483	0.17149306513758183	0.11287931976633013	0.03889639986764659	0.026967989392642375	0.09826919263307822	0.05022160161128075	0.09550919980274082	0.022653773099038817	0.02347524035838728	0.023914675402245473	0.018543237010595397	0.01854223701009537	0.01854023700909531	0.021904862261108847	0.021904862261108847	0.040321309625634294	0.050399711849927864	0.04083814006359373	0.0438530639179395	0.03535079215502515	0.028314004064493966	0.029163599344712965	0.028314004064493966	0.028314004064493966	0.039553310628745966	0.037727021485300494	0.05353282906762219	0.04533072411040198	0.0416966086786726	0.042253529903579445	0.04775316065476359	0.03711241375852366	0.09528779119988451	0.04233961776288024	0.04233961776288024	0.03202126451063207	0.03202126451063207	0.05203877863260924	0.04334962979844613	0.04146244238718273	0.08404509883675022	0.1455776359125512	0.3156331741834836	0.2205558085465426	0.30925167286305144	0.06824215001670968	0.1859902916412652	0.16332351240638038	0.3242764618468176	0.33916873576282636	0.34557698319721086	0.2924948342935268	0.3047683694670025	0.2135375627891893	0.10126127321885511	0.13067905352401318	0.10563578934120482	0.12863593567801443	0.30813264001297325	0.17773105704299444	0.2820312587643104	0.19405039469298205	0.04190457623479349	0.13383303998347806	0.04471982552010467	0.046514663565785	0.046514663565785	0.049338148782950356	0.049757669556447226	0.05631102472205543	0.06017176329193695	0.04736293620933202	0.04190457623479349	0.03897270644382049	0.0453826754695434	0.04726935253827971	0.04908449605464814	0.0442699679950259	0.0433500311479756	0.041021137081961145	0.042909968250922706	0.06982025434371239	0.07327025628073937	0.058170537392529434	0.1100242453336367	0.09399530926949885	0.3107115201326704	0.22516484581397667	0.15265591260707553	0.2752730744140355	0.29943198061833426	0.29568615178373553	0.288367102762266	0.2883947525296628	0.036225704833750726	0.02570907861265012	0.04160292171875406	0.03132133074299544	0.03132133074299544	0.03426484019098931	0.04960972373209149	0.023478248586753653	0.013905994768232425	0.014336179462648193	0.10090933394229178	0.23483620971393523	0.2799557626885485	0.2821104835552639	0.061078884910703075	0.10513607441449327
w24pp	0.08388914798575735	0.038049513402911676	0.014554187247696535	0.0	0.002565607636992746	0.0033533736816732593	0.006398801220791673	0.013581654662770483	0.06321874900961888	0.1361275457984663	0.15534631638874996	0.16653348279075697	0.10791973741950528	0.033936817520821734	0.022008407045817517	0.09330961028625337	0.04526201926445589	0.09054961745591597	0.01769419075221396	0.018515658011562422	0.018955093055420615	0.013583654663770539	0.013582654663270511	0.013580654662270451	0.01694527991428399	0.01694527991428399	0.035361727278809436	0.045440129503103006	0.03587855771676887	0.038893481571114635	0.030391209808200287	0.02335442171766911	0.024204016997888107	0.02335442171766911	0.02335442171766911	0.03459372828192111	0.032767439138475636	0.04857324672079733	0.040371141763577124	0.03673702633184774	0.03729394755675459	0.04279357830793873	0.03215283141169879	0.09032820885305966	0.037380035416055384	0.037380035416055384	0.02706168216380721	0.02706168216380721	0.04707919628578438	0.03839004745162127	0.036502860040357875	0.07908551648992537	0.14061805356572635	0.31067359183665877	0.21559622619971774	0.30429209051622663	0.06328256766988481	0.18103070929444035	0.1583639300595555	0.31931687949999277	0.33420915341600155	0.34061740085038605	0.287535251946702	0.29980878712017767	0.20857798044236445	0.09630169087203026	0.12571947117718832	0.10067620699437997	0.12367635333118958	0.30317305766614844	0.17277147469616957	0.2770716764174856	0.18909081234615718	0.03694499388796863	0.12887345763665323	0.039760243173279815	0.04155508121896014	0.04155508121896014	0.0443785664361255	0.04479808720962236	0.051351442375230566	0.05521218094511209	0.04240335386250716	0.03694499388796863	0.03401312409699563	0.040423093122718544	0.042309770191454855	0.044124913707823274	0.039310385648201045	0.03839044880115074	0.03606155473513629	0.03795038590409785	0.06486067199688753	0.06831067393391452	0.05321095504570457	0.10506466298681184	0.089035726922674	0.3057519377858456	0.2202052634671518	0.14769633026025067	0.27031349206721067	0.29447239827150945	0.2907265694369107	0.2834075204154412	0.283435170182838	0.03126612248692587	0.020749496265825264	0.03664333937192919	0.02636174839617058	0.02636174839617058	0.029305257844164448	0.044650141385266635	0.018518666239928795	0.00894641242140757	0.02392918090099397	0.11050233538063756	0.24442921115228103	0.2895487641268943	0.2917034849936097	0.07067188634904885	0.11968826166118973
s10pp	0.08645275562175005	0.04061312103890437	0.01711779488368922	0.002565607636992746	0.0	0.003125033245665162	0.006170460784783576	0.01614526229876317	0.06578235664561156	0.138691153434459	0.15790992402474266	0.16909709042674967	0.11048334505549796	0.036500425156814426	0.024572014681810205	0.09587321792224605	0.04782562690044858	0.09311322509190866	0.020257798388206648	0.02107926564755511	0.021518700691413303	0.016147262299763227	0.0161462622992632	0.01614426229826314	0.019508887550276677	0.019508887550276677	0.03792533491480212	0.0480037371390957	0.038442165352761556	0.04145708920710733	0.03295481744419298	0.025918029353661796	0.026767624633880795	0.025918029353661796	0.025918029353661796	0.03715733591791379	0.03533104677446833	0.051136854356790024	0.042934749399569816	0.039300633967840434	0.03985755519274728	0.04535718594393142	0.034716439047691484	0.09289181648905234	0.039943643052048075	0.039943643052048075	0.0296252897997999	0.0296252897997999	0.04964280392177707	0.04095365508761396	0.039066467676350566	0.08164912412591806	0.14318166120171905	0.31323719947265144	0.21815983383571044	0.3068556981522193	0.0658461753058775	0.18359431693043304	0.1609275376955482	0.32188048713598544	0.3367727610519942	0.3431810084863787	0.29009885958269466	0.30237239475617034	0.21114158807835715	0.09886529850802295	0.12828307881318102	0.10323981463037266	0.12623996096718226	0.3057366653021411	0.17533508233216227	0.27963528405347826	0.19165441998214988	0.03950860152396132	0.1314370652726459	0.042323850809272506	0.044118688854952834	0.044118688854952834	0.04694217407211819	0.04736169484561505	0.05391505001122326	0.057775788581104784	0.04496696149849985	0.03950860152396132	0.03657673173298832	0.042986700758711235	0.04487337782744755	0.046688521343815965	0.041873993284193736	0.04095405643714343	0.03862516237112898	0.04051399354009054	0.06742427963288021	0.0708742815699072	0.05577456268169726	0.10762827062280453	0.09159933455866669	0.30831554542183826	0.2227688711031445	0.15025993789624337	0.27287709970320334	0.2970360059075021	0.2932901770729034	0.2859711280514339	0.28599877781883065	0.03382973012291855	0.023313103901817952	0.039206947007921884	0.028925356032163268	0.028925356032163268	0.03186886548015714	0.04721374902125933	0.021082273875921483	0.011510020057400257	0.02649278853698666	0.11306594301663024	0.24699281878827373	0.292112371762887	0.29426709262960243	0.07323549398504153	0.12225186929718243
s12pp	0.08724052166643055	0.04140088708358488	0.017905560928369736	0.0033533736816732593	0.003125033245665162	0.0	0.003946151553001122	0.016933028343443686	0.06657012269029208	0.1394789194791395	0.15869769006942316	0.16988485647143017	0.11127111110017848	0.03728819120149494	0.02535978072649072	0.09666098396692657	0.04861339294512909	0.09390099113658917	0.021045564432887163	0.021867031692235625	0.02230646673609382	0.016935028344443742	0.01693402834394371	0.016932028342943654	0.020296653594957192	0.020296653594957192	0.03871310095948263	0.04879150318377621	0.039229931397442075	0.04224485525178784	0.03374258348887349	0.02670579539834231	0.02755539067856131	0.02670579539834231	0.02670579539834231	0.037945101962594305	0.03611881281914884	0.051924620401470535	0.04372251544425033	0.040088400012520946	0.04064532123742779	0.04614495198861193	0.035504205092371996	0.09367958253373285	0.04073140909672859	0.04073140909672859	0.030413055844480414	0.030413055844480414	0.05043056996645758	0.041741421132294475	0.03985423372103108	0.08243689017059858	0.14396942724639955	0.31402496551733194	0.21894759988039095	0.3076434641968998	0.06663394135055802	0.18438208297511355	0.16171530374022872	0.32266825318066594	0.3375605270966747	0.34396877453105923	0.29088662562737516	0.30316016080085084	0.21192935412303765	0.09965306455270345	0.12907084485786152	0.10402758067505316	0.12702772701186277	0.3065244313468216	0.17612284837684278	0.28042305009815877	0.1924421860268304	0.040296367568641835	0.13222483131732643	0.04311161685395302	0.044906454899633345	0.044906454899633345	0.0477299401167987	0.048149460890295565	0.05470281605590377	0.058563554625785295	0.045754727543180364	0.040296367568641835	0.03736449777766883	0.04377446680339175	0.04566114387212806	0.04747628738849648	0.04266175932887425	0.04174182248182394	0.03941292841580949	0.04130175958477105	0.06821204567756073	0.07166204761458772	0.05656232872637777	0.10841603666748503	0.0923871006033472	0.30910331146651876	0.223556637147825	0.15104770394092387	0.27366486574788385	0.2978237719521826	0.2940779431175839	0.2867588940961144	0.28678654386351116	0.03461749616759907	0.024100869946498467	0.039994713052602396	0.029713122076843783	0.029713122076843783	0.03265663152483765	0.04800151506593984	0.021870039920601998	0.01229778610208077	0.027280554581667175	0.11385370906131076	0.24778058483295423	0.2929001378075675	0.29505485867428294	0.07402326002972205	0.12303963534186294
s18pp	0.09028594920554897	0.04444631462270329	0.02095098846748815	0.006398801220791673	0.006170460784783576	0.003946151553001122	0.0	0.0199784558825621	0.06961555022941049	0.14252434701825795	0.1617431176085416	0.1729302840105486	0.11431653863929689	0.04033361874061335	0.028405208265609133	0.09970641150604498	0.051658820484247504	0.09694641867570758	0.024090991972005576	0.024912459231354038	0.02535189427521223	0.019980455883562155	0.019979455883062124	0.019977455882062067	0.023342081134075605	0.023342081134075605	0.04175852849860105	0.05183693072289462	0.04227535893656048	0.04529028279090625	0.0367880110279919	0.029751222937460724	0.030600818217679723	0.029751222937460724	0.029751222937460724	0.040990529501712725	0.03916424035826725	0.05497004794058895	0.04676794298336874	0.04313382755163936	0.043690748776546204	0.049190379527730345	0.03854963263149041	0.09672501007285127	0.043776836635847	0.043776836635847	0.03345848338359883	0.03345848338359883	0.053475997505575995	0.04478684867141289	0.04289966126014949	0.08548231770971698	0.14701485478551796	0.31707039305645035	0.22199302741950938	0.3106888917360182	0.06967936888967644	0.18742751051423195	0.16476073127934715	0.32571368071978435	0.34060595463579313	0.34701420207017764	0.29393205316649357	0.30620558833996925	0.21497478166215606	0.10269849209182187	0.13211627239697993	0.10707300821417158	0.13007315455098117	0.30956985888594	0.17916827591596118	0.28346847763727717	0.1954876135659488	0.04334179510776025	0.13527025885644484	0.04615704439307143	0.04795188243875176	0.04795188243875176	0.050775367655917114	0.05119488842941398	0.05774824359502218	0.06160898216490371	0.04880015508229878	0.04334179510776025	0.04040992531678725	0.04681989434251016	0.04870657141124647	0.05052171492761489	0.04570718686799266	0.04478725002094235	0.042458355954927904	0.044347187123889464	0.07125747321667913	0.07470747515370613	0.059607756265496185	0.11146146420660345	0.09543252814246561	0.31214873900563717	0.22660206468694344	0.15409313148004228	0.27671029328700225	0.30086919949130103	0.2971233706567023	0.2898043216352328	0.28983197140262956	0.03766292370671748	0.02714629748561688	0.04304014059172081	0.032758549615962196	0.032758549615962196	0.035702059063956064	0.05104694260505825	0.02491546745972041	0.015343213641199184	0.030325982120785588	0.11689913660042917	0.25082601237207264	0.2959455653466859	0.29810028621340134	0.07706868756884047	0.12608506288098137
f25pp	0.08787619774765616	0.042036563164810484	0.018541237009595337	0.013581654662770483	0.01614526229876317	0.016933028343443686	0.0199784558825621	0.0	0.04963909434784845	0.12254789113669588	0.14176666172697952	0.15295382812898653	0.09434008275773485	0.02035716285905131	0.008428752384047094	0.07972995562448294	0.03168236460268547	0.07696996279414554	0.0041145360904435374	0.0049360033497920005	0.005375438393650193	4.00000200011636e-06	3.00000150008727e-06	3.00000150008727e-06	0.006088894947011116	0.006088894947011116	0.02450534231153656	0.03458374453583014	0.025022172749495995	0.028037096603841766	0.019534824840927414	0.012498036750396234	0.013347632030615234	0.012498036750396234	0.012498036750396234	0.023737343314648232	0.021911054171202763	0.03771686175352446	0.029514756796304255	0.025880641364574873	0.026437562589481718	0.03193719334066586	0.02129644644442592	0.07947182388578677	0.026523650448782514	0.026523650448782514	0.016205297196534338	0.016205297196534338	0.03622281131851151	0.027533662484348402	0.025646475073085005	0.06822913152265249	0.12976166859845348	0.29981720686938584	0.20473984123244487	0.2934357055489537	0.05242618270261194	0.17017432432716748	0.14750754509228264	0.30846049453271984	0.3233527684487286	0.32976101588311313	0.27667886697942906	0.28895240215290474	0.19772159547509158	0.08544530590475738	0.11486308620991545	0.08981982202710709	0.1128199683639167	0.2923166726988755	0.1619150897288967	0.26621529145021267	0.1782344273788843	0.026088608920695762	0.11801707266938034	0.028903858206006945	0.030698696251687273	0.030698696251687273	0.03352218146885263	0.03394170224234949	0.040495057407957696	0.04435579597783922	0.03154696889523429	0.026088608920695762	0.023156739129722756	0.029566708155445674	0.031453385224181986	0.033268528740550404	0.028454000680928175	0.027534063833877867	0.025205169767863418	0.02709400093682498	0.054004287029614656	0.057454288966641634	0.0423545700784317	0.09420827801953896	0.07817934195540112	0.29489555281857266	0.20934887849987893	0.1368399452929778	0.25945710709993774	0.2836160133042365	0.2798701844696378	0.2725511354481683	0.27257878521556506	0.02040973751965299	0.009893111298552389	0.025786954404656323	0.015505363428897705	0.015505363428897705	0.018448872876891575	0.033793756417993766	0.00766228127265592	0.005897604398294125	0.027916230662892776	0.11448938514253636	0.24841626091417984	0.29353581388879313	0.29569053475550855	0.07465893611094765	0.12367531142308855
f9pp	0.13751329209450452	0.09167365751165887	0.06817833135644373	0.06321874900961888	0.06578235664561156	0.06657012269029208	0.06961555022941049	0.04963909434784845	0.0	0.12064410636163575	0.13986287695191946	0.15105004335392644	0.09243629798267472	0.04291794325178042	0.04121434196580147	0.11251554520623733	0.06446795418443985	0.10975555237589993	0.04640733877997079	0.047228806039319254	0.047668241083177444	0.04963709434684839	0.04963809434734842	0.049640094348348485	0.05572598929385951	0.05572598929385951	0.07414243665838496	0.08422083888267853	0.07465926709634439	0.07767419095069017	0.06917191918777581	0.06213513109724463	0.06298472637746363	0.06213513109724463	0.06213513109724463	0.07337443766149662	0.07154814851805116	0.08735395610037286	0.07915185114315265	0.07551773571142327	0.07607465693633012	0.08157428768751426	0.07093354079127431	0.12910891823263518	0.07616074479563091	0.07616074479563091	0.06584239154338273	0.06584239154338273	0.0858599056653599	0.0771707568311968	0.0752835694199334	0.11786622586950088	0.17939876294530185	0.3494543012162343	0.25437693557929325	0.34307279989580214	0.10206327704946033	0.21981141867401585	0.19714463943913102	0.3580975888795683	0.37298986279557705	0.37939811022996156	0.3263159613262775	0.3385894964997532	0.24735868982193995	0.13508240025160578	0.16450018055676385	0.1394569163739555	0.1624570627107651	0.34195376704572394	0.21155218407574508	0.3158523857970611	0.2278715217257327	0.07572570326754416	0.16765416701622873	0.07854095255285534	0.08033579059853567	0.08033579059853567	0.08315927581570103	0.0835787965891979	0.0901321517548061	0.09399289032468762	0.08118406324208269	0.07572570326754416	0.07279383347657115	0.07920380250229407	0.08109047957103038	0.0829056230873988	0.07809109502777657	0.07717115818072626	0.07484226411471182	0.07673109528367338	0.10364138137646306	0.10709138331349002	0.09199166442528009	0.14384537236638736	0.1278164363022495	0.3445326471654211	0.2589859728467273	0.18647703963982618	0.3090942014467862	0.33325310765108496	0.3295072788164862	0.3221882297950167	0.3222158795624135	0.07004683186650139	0.059530205645400784	0.07542404875150471	0.06514245777574611	0.06514245777574611	0.06808596722373997	0.08343085076484216	0.057299375619504316	0.05553469874514252	0.07755332500974116	0.16412647948938475	0.2980533552610282	0.3431729082356415	0.3453276291023569	0.12429603045779605	0.17331240576993692
S1Hp	0.210422088883352	0.16458245430050633	0.14108712814529117	0.1361275457984663	0.138691153434459	0.1394789194791395	0.14252434701825795	0.12254789113669588	0.12064410636163575	0.0	0.16545171451904686	0.2099770497999273	0.15136330442867557	0.11582674004062786	0.11412313875464891	0.18542434199508476	0.13737675097328728	0.18266434916474736	0.11931613556881822	0.12013760282816668	0.12057703787202488	0.12254589113569582	0.12254689113619585	0.12254889113719591	0.12863478608270693	0.12863478608270693	0.14705123344723237	0.15712963567152596	0.1475680638851918	0.1505829877395376	0.14208071597662322	0.13504392788609204	0.13589352316631106	0.13504392788609204	0.13504392788609204	0.14628323445034405	0.1444569453068986	0.1602627528892203	0.15206064793200008	0.14842653250027069	0.14898345372517754	0.15448308447636167	0.14384233758012174	0.20201771502148258	0.14906954158447833	0.14906954158447833	0.13875118833223016	0.13875118833223016	0.15876870245420732	0.15007955362004421	0.14819236620878082	0.1907750226583483	0.2523075597341493	0.42236309800508165	0.3272857323681407	0.4159815966846495	0.17497207383830776	0.2927202154628633	0.27005343622797845	0.43100638566841565	0.44589865958442443	0.45230690701880893	0.3992247581151249	0.41149829328860055	0.3202674866107874	0.2079911970404532	0.23740897734561128	0.2123657131628029	0.23536585949961253	0.4148625638345713	0.2844609808645925	0.3887611825859085	0.3007803185145801	0.1486345000563916	0.24056296380507616	0.15144974934170277	0.15324458738738309	0.15324458738738309	0.15606807260454844	0.1564875933780453	0.16304094854365353	0.16690168711353504	0.15409286003093012	0.1486345000563916	0.14570263026541858	0.1521125992911415	0.1539992763598778	0.15581441987624622	0.150999891816624	0.1500799549695737	0.14775106090355924	0.1496398920725208	0.1765501781653105	0.18000018010233745	0.16490046121412752	0.21675416915523477	0.20072523309109694	0.4174414439542685	0.33189476963557474	0.25938583642867363	0.38200299823563355	0.4061619044399324	0.40241607560533366	0.39509702658386414	0.3951246763512609	0.1429556286553488	0.13243900243424822	0.14833284554035214	0.13805125456459352	0.13805125456459352	0.1409947640125874	0.1563396475536896	0.13020817240835175	0.12844349553398995	0.15046212179858862	0.2370352762782322	0.3709621520498757	0.41608170502448893	0.41823642589120436	0.1972048272466435	0.24622120255878438
