	S31Hp	s19pp	w14pp	s14pp	s9pp	s25pp	w6pp	s6pp	s32pp	s13pp	s20pp	s29pp	S12Hp	s12pp	S9H1	S17H1	S18H1	S26Hp	S13Hp	S16H2	F23HpA	w21pp	s3pp	s4pp	s2pp	S1Hp	s1pp	s7pp	w16pp	s16pp	s17pp	s27pp	s24pp	s31pp
S31Hp	0.0	0.000622459630857503	0.08703957940631943	0.05379131452904274	0.04655310495592297	0.17132933336477052	0.19271461520631378	0.19271561520681382	0.19271561520681382	0.21217490633224892	0.21217490633224892	0.3482001181219833	0.3483893401463896	0.34788243948698966	0.34389634173253586	1.1744164345609784	1.0076895143765552	1.0408527925537503	1.0267801967724663	1.0673855456136971	1.0872745468210838	0.34019494844189585	0.3616786183410256	0.36082976463432354	0.36082976463432354	0.32021782068327703	0.32314866241609347	0.323375685172898	0.3067997667694105	0.3063544094361737	0.1295805863282563	0.0077398001215433394	0.0016956681723357021	0.001027348127412317
s19pp	0.000622459630857503	0.0	0.08766003903617686	0.05441177415890019	0.04717356458578042	0.17194979299462795	0.1933350748361712	0.19333607483667126	0.19333607483667126	0.21279536596210635	0.21279536596210635	0.3488205777518408	0.3490097997762471	0.3485028991168471	0.3445168013623933	1.1750368941908358	1.0083099740064125	1.0414732521836076	1.0274006564023237	1.0680060052435545	1.0878950064509412	0.3408154080717533	0.36229907797088307	0.361450224264181	0.361450224264181	0.3208382803131345	0.32376912204595093	0.32399614480275546	0.30742022639926797	0.30697486906603116	0.13020104595811374	0.008360259751400784	0.002316127802193147	0.0016478077572697617
w14pp	0.08703957940631943	0.08766003903617686	0.0	0.03621648171385688	0.07213707869185315	0.2265358051375344	0.24792108697907767	0.2479220869795777	0.2479220869795777	0.26738137810501283	0.26738137810501283	0.4034065898947472	0.4035958119191535	0.40308891125975355	0.39910281350529975	1.229622906333742	1.0628959861493188	1.096059264326514	1.08198666854523	1.1225920173864607	1.1424810185938474	0.39540142021465974	0.4168850901137895	0.4160362364070874	0.4160362364070874	0.3754242924560409	0.37835513418885736	0.3785821569456619	0.3620062385421744	0.3615608812089376	0.18478705810102017	0.08223570042692274	0.08873124757665501	0.08806292753173163
s14pp	0.05379131452904274	0.05441177415890019	0.03621648171385688	0.0	0.038888813814576484	0.19328754026025774	0.214672822101801	0.21467382210230104	0.21467382210230104	0.23413311322773614	0.23413311322773614	0.37015832501747054	0.37034754704187683	0.3698406463824769	0.3658545486280231	1.1963746414564653	1.0296477212720423	1.0628109994492372	1.0487384036679532	1.089343752509184	1.1092327537165707	0.36215315533738307	0.3836368252365128	0.38278797152981076	0.38278797152981076	0.34217602757876425	0.3451068693115807	0.3453338920683852	0.32875797366489773	0.3283126163316609	0.1515387932237435	0.04898743554964606	0.05548298269937833	0.05481466265445494
s9pp	0.04655310495592297	0.04717356458578042	0.07213707869185315	0.038888813814576484	0.0	0.18604933068713797	0.20743461252868123	0.20743561252918127	0.20743561252918127	0.22689490365461637	0.22689490365461637	0.36292011544435077	0.36310933746875707	0.3626024368093571	0.3586163390549033	1.1891364318833455	1.0224095116989225	1.0555727898761174	1.0415001940948334	1.0821055429360642	1.1019945441434509	0.3549149457642633	0.37639861566339305	0.375549761956691	0.375549761956691	0.3349378180056445	0.3378686597384609	0.33809568249526545	0.32151976409177796	0.32107440675854115	0.14430058365062373	0.04174922597652629	0.048244773126258564	0.04757645308133517
s25pp	0.17132933336477052	0.17194979299462795	0.2265358051375344	0.19328754026025774	0.18604933068713797	0.0	0.02660032498528518	0.026601324985785213	0.026601324985785213	0.21375185999938057	0.21375185999938057	0.34977707178911494	0.3499662938135213	0.34945939315412133	0.3454732953996675	1.1759933882281097	1.0092664680436867	1.0424297462208816	1.0283571504395976	1.0689624992808284	1.088851500488215	0.34177190210902747	0.3632555720081572	0.3624067183014552	0.3624067183014552	0.3217947743504087	0.3247256160832251	0.3249526388400296	0.3083767204365422	0.3079313631033054	0.17574056971884847	0.16652545438537383	0.17302100153510608	0.1723526814901827
w6pp	0.19271461520631378	0.1933350748361712	0.24792108697907767	0.214672822101801	0.20743461252868123	0.02660032498528518	0.0	3.00000150008727e-06	3.00000150008727e-06	0.23513714184092385	0.23513714184092385	0.3711623536306582	0.3713515756550646	0.37084467499566465	0.36685857724121074	1.1973786700696532	1.03065174988523	1.063815028062425	1.049742432281141	1.0903477811223719	1.1102367823297585	0.36315718395057073	0.3846408538497005	0.3837920001429985	0.3837920001429985	0.343180056191952	0.34611089792476835	0.3463379206815729	0.3297620022780855	0.3293166449448487	0.19712585156039172	0.1879107362269171	0.19440628337664934	0.19373796333172597
s6pp	0.19271561520681382	0.19333607483667126	0.2479220869795777	0.21467382210230104	0.20743561252918127	0.026601324985785213	3.00000150008727e-06	0.0	2.00000100005818e-06	0.2351381418414239	0.2351381418414239	0.37116335363115827	0.3713525756555646	0.37084567499616466	0.3668595772417108	1.1973796700701531	1.0306527498857299	1.063816028062925	1.049743432281641	1.0903487811228718	1.1102377823302585	0.3631581839510708	0.38464185385020055	0.38379300014349854	0.38379300014349854	0.34318105619245204	0.3461118979252684	0.34633892068207295	0.3297630022785855	0.3293176449453487	0.19712685156089177	0.18791173622741714	0.19440728337714938	0.193738963332226
s32pp	0.19271561520681382	0.19333607483667126	0.2479220869795777	0.21467382210230104	0.20743561252918127	0.026601324985785213	3.00000150008727e-06	2.00000100005818e-06	0.0	0.2351381418414239	0.2351381418414239	0.37116335363115827	0.3713525756555646	0.37084567499616466	0.3668595772417108	1.1973796700701531	1.0306527498857299	1.063816028062925	1.049743432281641	1.0903487811228718	1.1102377823302585	0.3631581839510708	0.38464185385020055	0.38379300014349854	0.38379300014349854	0.34318105619245204	0.3461118979252684	0.34633892068207295	0.3297630022785855	0.3293176449453487	0.19712685156089177	0.18791173622741714	0.19440728337714938	0.193738963332226
s13pp	0.21217490633224892	0.21279536596210635	0.26738137810501283	0.23413311322773614	0.22689490365461637	0.21375185999938057	0.23513714184092385	0.2351381418414239	0.2351381418414239	0.0	2.00000100005818e-06	0.34554931910431097	0.3457385411287173	0.34523164046931737	0.3412455427148635	1.171765635543306	1.0050387153588827	1.0382019935360778	1.0241293977547938	1.0647347465960246	1.0846237478034113	0.3375441494242235	0.35902781932335326	0.35817896561665125	0.35817896561665125	0.31756702166560474	0.3204978633984211	0.32072488615522565	0.3041489677517382	0.3037036104185014	0.21658614268632687	0.20737102735285223	0.21386657450258448	0.2131982544576611
