	530119	530295	S18H1	530163	S4Hp	S1Hp	31537	31416	S15Hp	S17H1	S26Hp	F8H1	530251	S7Hp	31750
530119	0.0	0.4496249483838888	0.4156466411740267	0.41236945301639405	0.4427584602040361	0.3958828447090572	0.428787279661633	0.44994588196725827	0.48085587942264657	0.45835727981837276	0.4091551979834466	0.4154507909132559	0.5020761924394779	0.4560933881529633	0.4421080503093234
530295	0.4496249483838888	0.0	0.4023667367949392	0.44491534284684386	0.49642880856769467	0.4495531930727158	0.4824576280252916	0.5036162303309168	0.5345262277863052	0.5120276281820313	0.46282554634710515	0.46912113927691446	0.5557465408031365	0.5097637365166219	0.49577839867298196
S18H1	0.4156466411740267	0.4023667367949392	0.0	0.41093703563698175	0.4624505013578325	0.4155748858628536	0.4484793208154294	0.4696379231210547	0.5005479205764429	0.4780493209721692	0.428847239137243	0.4351428320670523	0.5217682335932743	0.4757854293067597	0.4618000914631198
530163	0.41236945301639405	0.44491534284684386	0.41093703563698175	0.0	0.45917331320019994	0.41229769770522107	0.4452021326577968	0.4663607349634221	0.49727073241881037	0.47477213281453656	0.42557005097961037	0.4318656439094197	0.5184910454356417	0.4725082411491271	0.4585229033054872
S4Hp	0.4427584602040361	0.49642880856769467	0.4624505013578325	0.45917331320019994	0.0	0.27160572189978766	0.3045101568523634	0.45911935734733067	0.490029354802719	0.46753075519844517	0.418328673363519	0.4246242662933283	0.5112496678195503	0.4652668635330357	0.4512815256893958
S1Hp	0.3958828447090572	0.4495531930727158	0.4155748858628536	0.41229769770522107	0.27160572189978766	0.0	0.08288933385068659	0.4122437418523518	0.4431537393077401	0.4206551397034663	0.3714530578685401	0.3777486507983494	0.4643740523245714	0.41839124803805683	0.4044059101944169
31537	0.428787279661633	0.4824576280252916	0.4484793208154294	0.4452021326577968	0.3045101568523634	0.08288933385068659	0.0	0.4451481768049276	0.4760581742603158	0.453559574656042	0.4043574928211158	0.4106530857509252	0.4972784872771472	0.45129568299063255	0.43731034514699263
31416	0.44994588196725827	0.5036162303309168	0.4696379231210547	0.4663607349634221	0.45911935734733067	0.4122437418523518	0.4451481768049276	0.0	0.20351727425526728	0.35543207815739397	0.3062299963224678	0.376251390771733	0.462876792297955	0.41689398801144034	0.4311432222982928
S15Hp	0.48085587942264657	0.5345262277863052	0.5005479205764429	0.49727073241881037	0.490029354802719	0.4431537393077401	0.4760581742603158	0.20351727425526728	0.0	0.38634207561278233	0.3371399937778561	0.4071613882271213	0.4937867897533433	0.44780398546682865	0.4620532197536811
S17H1	0.45835727981837276	0.5120276281820313	0.4780493209721692	0.47477213281453656	0.46753075519844517	0.4206551397034663	0.453559574656042	0.35543207815739397	0.38634207561278233	0.0	0.23060973213214842	0.3846627886228474	0.4712881901490694	0.42530538586255484	0.43955462014940727
S26Hp	0.4091551979834466	0.46282554634710515	0.428847239137243	0.42557005097961037	0.418328673363519	0.3714530578685401	0.4043574928211158	0.3062299963224678	0.3371399937778561	0.23060973213214842	0.0	0.3354607067879212	0.4220861083141432	0.3761033040276286	0.390352538314481
F8H1	0.4154507909132559	0.46912113927691446	0.4351428320670523	0.4318656439094197	0.4246242662933283	0.3777486507983494	0.4106530857509252	0.376251390771733	0.4071613882271213	0.3846627886228474	0.3354607067879212	0.0	0.41671313354118866	0.370730329254674	0.39664813124429044
530251	0.5020761924394779	0.5557465408031365	0.5217682335932743	0.5184910454356417	0.5112496678195503	0.4643740523245714	0.4972784872771472	0.462876792297955	0.4937867897533433	0.4712881901490694	0.4220861083141432	0.41671313354118866	0.0	0.4093463854330629	0.4832735327705124
S7Hp	0.4560933881529633	0.5097637365166219	0.4757854293067597	0.4725082411491271	0.4652668635330357	0.41839124803805683	0.45129568299063255	0.41689398801144034	0.44780398546682865	0.42530538586255484	0.3761033040276286	0.370730329254674	0.4093463854330629	0.0	0.43729072848399775
31750	0.4421080503093234	0.49577839867298196	0.4618000914631198	0.4585229033054872	0.4512815256893958	0.4044059101944169	0.43731034514699263	0.4311432222982928	0.4620532197536811	0.43955462014940727	0.390352538314481	0.39664813124429044	0.4832735327705124	0.43729072848399775	0.0
