	531414	S7Hp	F14H1B	S25Hp	F23HpA	530331	31379	s24H1	530394	S31Hp	S23Hp	s14pp	s1pp	s26pp	s28pp	s20pp	s19pp	S30H1	S10H1	530050	31428	31328	s32pp
531414	0.0	0.24901777947781445	0.7566252117004487	0.8316184462735748	0.8952146978693624	1.0713591874417656	1.0790539736548586	0.9568571777123408	1.07530925364475	0.9629817389976517	0.5988510215406894	0.3798235063660764	0.3841564340211241	0.3932907230481552	0.3962937900497949	0.38852636583940864	0.39989514368357826	0.3375563698607899	0.2677469494961051	0.2520380798766108	0.3153029288263403	0.2961890186411125	0.18499299385763618
S7Hp	0.24901777947781445	0.0	0.7490698939044326	0.8240631284775587	0.8876593800733462	1.0638038696457495	1.0714986558588424	0.9493018599163247	1.0677539358487338	0.9554264212016356	0.5912957037446732	0.3722681885700603	0.37660111622510795	0.385735405252139	0.3887384722537788	0.38097104804339244	0.3923398258875621	0.3300010520647737	0.2601916317000889	0.24448276208059466	0.3077476110303241	0.2886337008450963	0.30295723784097855
F14H1B	0.7566252117004487	0.7490698939044326	0.0	0.175661728535383	0.23925798013117058	0.41540246970357364	0.42309725591666647	0.30090045997414894	0.41935253590655786	0.30702502125945974	0.4787802126180087	0.6767665534798586	0.6810994811349061	0.6902337701619373	0.6932368371635771	0.6854694129531907	0.6968381907973603	0.7613811385423552	0.6915717181776704	0.720718206444591	0.7839830553943204	0.7648691452090927	0.8105646700636129
S25Hp	0.8316184462735748	0.8240631284775587	0.175661728535383	0.0	0.13592804416383475	0.3291909916898381	0.3368857779029309	0.2146889819604134	0.33314105789282233	0.22081354324572416	0.5537734471911349	0.7517597880529847	0.7560927157080324	0.7652270047350636	0.7682300717367032	0.760462647526317	0.7718314253704865	0.8363743731154814	0.7665649527507965	0.7957114410177171	0.8589762899674466	0.8398623797822188	0.885557904636739
F23HpA	0.8952146978693624	0.8876593800733462	0.23925798013117058	0.13592804416383475	0.0	0.3927872432856257	0.4004820294987185	0.27828523355620094	0.3967373094886099	0.28440979484151174	0.6173696987869225	0.8153560396487722	0.8196889673038199	0.8288232563308511	0.8318263233324907	0.8240588991221045	0.8354276769662741	0.8999706247112689	0.830161204346584	0.8593076926135046	0.9225725415632341	0.9034586313780063	0.9491541562325265
530331	1.0713591874417656	1.0638038696457495	0.41540246970357364	0.3291909916898381	0.3927872432856257	0.0	0.007696786214092825	0.33582853150756975	0.5152005545526227	0.40287303990552453	0.7935141883593255	0.9915005292211754	0.995833456876223	1.0049677459032542	1.0079708129048939	1.0002033886945076	1.0115721665386772	1.076115114283672	1.0063056939189872	1.0354521821859077	1.0987170311356373	1.0796031209504096	1.1252986458049299
31379	1.0790539736548586	1.0714986558588424	0.42309725591666647	0.3368857779029309	0.4004820294987185	0.007696786214092825	0.0	0.34352331772066247	0.5228953407657155	0.4105678261186173	0.8012089745724185	0.9991953154342683	1.003528243089316	1.012662532116347	1.0156655991179868	1.0078981749076004	1.0192669527517701	1.083809900496765	1.01400048013208	1.0431469683990007	1.1064118173487303	1.0872979071635025	1.1329934320180228
s24H1	0.9568571777123408	0.9493018599163247	0.30090045997414894	0.2146889819604134	0.27828523355620094	0.33582853150756975	0.34352331772066247	0.0	0.400698544823198	0.2883710301760998	0.6790121786299008	0.8769985194917507	0.8813314471467982	0.8904657361738294	0.8934688031754692	0.8857013789650828	0.8970701568092524	0.9616131045542473	0.8918036841895625	0.920950172456483	0.9842150214062125	0.9651011112209847	1.010796636075505
530394	1.07530925364475	1.0677539358487338	0.41935253590655786	0.33314105789282233	0.3967373094886099	0.5152005545526227	0.5228953407657155	0.400698544823198	0.0	0.3079745414713592	0.7974642545623098	0.9954505954241597	0.9997835230792073	1.0089178121062383	1.0119208791078782	1.0041534548974917	1.0155222327416615	1.0800651804866563	1.0102557601219715	1.039402248388892	1.1026670973386217	1.0835531871533939	1.1292487120079142
S31Hp	0.9629817389976517	0.9554264212016356	0.30702502125945974	0.22081354324572416	0.28440979484151174	0.40287303990552453	0.4105678261186173	0.2883710301760998	0.3079745414713592	0.0	0.6851367399152117	0.8831230807770616	0.8874560084321091	0.8965902974591403	0.8995933644607801	0.8918259402503937	0.9031947180945633	0.9677376658395582	0.8979282454748734	0.9270747337417939	0.9903395826915234	0.9712256725062957	1.0169211973608159
S23Hp	0.5988510215406894	0.5912957037446732	0.4787802126180087	0.5537734471911349	0.6173696987869225	0.7935141883593255	0.8012089745724185	0.6790121786299008	0.7974642545623098	0.6851367399152117	0.0	0.5189923633200992	0.5233252909751469	0.5324595800021781	0.5354626470038177	0.5276952227934315	0.5390640006376011	0.603606948382596	0.5337975280179111	0.5629440162848317	0.6262088652345612	0.6070949550493334	0.6527904799038535
s14pp	0.3798235063660764	0.3722681885700603	0.6767665534798586	0.7517597880529847	0.8153560396487722	0.9915005292211754	0.9991953154342683	0.8769985194917507	0.9954505954241597	0.8831230807770616	0.5189923633200992	0.0	0.051239955141329924	0.06037424416836103	0.06337731117000078	0.055609886959614475	0.06697866480378409	0.384579433207983	0.31477001284329814	0.3439165011102187	0.40718135005994816	0.38806743987472037	0.43376296472924053
s1pp	0.3841564340211241	0.37660111622510795	0.6810994811349061	0.7560927157080324	0.8196889673038199	0.995833456876223	1.003528243089316	0.8813314471467982	0.9997835230792073	0.8874560084321091	0.5233252909751469	0.051239955141329924	0.0	0.010400515563857397	0.013403582565497143	0.005636158355110842	0.0322900095861593	0.3889123608630306	0.31910294049834576	0.3482494287652663	0.4115142777149958	0.39240036752976803	0.4380958923842882
s26pp	0.3932907230481552	0.385735405252139	0.6902337701619373	0.7652270047350636	0.8288232563308511	1.0049677459032542	1.012662532116347	0.8904657361738294	1.0089178121062383	0.8965902974591403	0.5324595800021781	0.06037424416836103	0.010400515563857397	0.0	0.014738688131665293	0.006971263921278992	0.041424298613190406	0.3980466498900618	0.32823722952537693	0.3573837177922975	0.42064856674202694	0.40153465655679915	0.4472301814113193
s28pp	0.3962937900497949	0.3887384722537788	0.6932368371635771	0.7682300717367032	0.8318263233324907	1.0079708129048939	1.0156655991179868	0.8934688031754692	1.0119208791078782	0.8995933644607801	0.5354626470038177	0.06337731117000078	0.013403582565497143	0.014738688131665293	0.0	0.009972330921918678	0.044427365614830155	0.4010497168917015	0.33124029652701664	0.3603867847939372	0.42365163374366666	0.40453772355843887	0.45023324841295903
s20pp	0.38852636583940864	0.38097104804339244	0.6854694129531907	0.760462647526317	0.8240588991221045	1.0002033886945076	1.0078981749076004	0.8857013789650828	1.0041534548974917	0.8918259402503937	0.5276952227934315	0.055609886959614475	0.005636158355110842	0.006971263921278992	0.009972330921918678	0.0	0.036659941404443855	0.3932822926813152	0.32347287231663036	0.3526193605835509	0.4158842095332804	0.39677029934805264	0.44246582420257274
s19pp	0.39989514368357826	0.3923398258875621	0.6968381907973603	0.7718314253704865	0.8354276769662741	1.0115721665386772	1.0192669527517701	0.8970701568092524	1.0155222327416615	0.9031947180945633	0.5390640006376011	0.06697866480378409	0.0322900095861593	0.041424298613190406	0.044427365614830155	0.036659941404443855	0.0	0.40465107052548477	0.3348416501607999	0.36398813842772054	0.42725298737745	0.4081390771922222	0.45383460204674236
S30H1	0.3375563698607899	0.3300010520647737	0.7613811385423552	0.8363743731154814	0.8999706247112689	1.076115114283672	1.083809900496765	0.9616131045542473	1.0800651804866563	0.9677376658395582	0.603606948382596	0.384579433207983	0.3889123608630306	0.3980466498900618	0.4010497168917015	0.3932822926813152	0.40465107052548477	0.0	0.2268469119199477	0.3016493646049322	0.3649142135546617	0.3458003033694339	0.391495828223954
S10H1	0.2677469494961051	0.2601916317000889	0.6915717181776704	0.7665649527507965	0.830161204346584	1.0063056939189872	1.01400048013208	0.8918036841895625	1.0102557601219715	0.8979282454748734	0.5337975280179111	0.31477001284329814	0.31910294049834576	0.32823722952537693	0.33124029652701664	0.32347287231663036	0.3348416501607999	0.2268469119199477	0.0	0.23183994424024734	0.29510479318997684	0.27599088300474905	0.3216864078592692
530050	0.2520380798766108	0.24448276208059466	0.720718206444591	0.7957114410177171	0.8593076926135046	1.0354521821859077	1.0431469683990007	0.920950172456483	1.039402248388892	0.9270747337417939	0.5629440162848317	0.3439165011102187	0.3482494287652663	0.3573837177922975	0.3603867847939372	0.3526193605835509	0.36398813842772054	0.3016493646049322	0.23183994424024734	0.0	0.24126977688488105	0.2507046699868223	0.30597753823977497
31428	0.3153029288263403	0.3077476110303241	0.7839830553943204	0.8589762899674466	0.9225725415632341	1.0987170311356373	1.1064118173487303	0.9842150214062125	1.1026670973386217	0.9903395826915234	0.6262088652345612	0.40718135005994816	0.4115142777149958	0.42064856674202694	0.42365163374366666	0.4158842095332804	0.42725298737745	0.3649142135546617	0.29510479318997684	0.24126977688488105	0.0	0.31396951893655173	0.3692423871895044
31328	0.2961890186411125	0.2886337008450963	0.7648691452090927	0.8398623797822188	0.9034586313780063	1.0796031209504096	1.0872979071635025	0.9651011112209847	1.0835531871533939	0.9712256725062957	0.6070949550493334	0.38806743987472037	0.39240036752976803	0.40153465655679915	0.40453772355843887	0.39677029934805264	0.4081390771922222	0.3458003033694339	0.27599088300474905	0.2507046699868223	0.31396951893655173	0.0	0.35012847700427663
s32pp	0.18499299385763618	0.30295723784097855	0.8105646700636129	0.885557904636739	0.9491541562325265	1.1252986458049299	1.1329934320180228	1.010796636075505	1.1292487120079142	1.0169211973608159	0.6527904799038535	0.43376296472924053	0.4380958923842882	0.4472301814113193	0.45023324841295903	0.44246582420257274	0.45383460204674236	0.391495828223954	0.3216864078592692	0.30597753823977497	0.3692423871895044	0.35012847700427663	0.0
