	f12ppB	f3pp	f14ppB	f23ppB	f22ppB	f21pp	f7pp	f12ppA	f32pp	f20ppA	f20ppB	f15pp	f11pp	f14ppA	w19pp	w32pp	w21pp	f13pp	w1pp	f24pp	f29pp	w9pp	f16ppA	530444	31600	530074	31333	S14Hp	f25pp	f16ppB	f10pp	f28pp	w18pp	w3pp	w23pp	w13pp	w16pp	w17pp	f19pp	w8pp	w12pp	f17ppB	w20pp	w25pp	w15pp	w14pp	w27pp	f17ppA	f26pp	w4pp	f30pp	f23ppA	f18pp	f4pp	f31pp	f8pp	f2pp	f1pp
f12ppB	0.0	0.08224856002301319	0.081991933945149	0.11636814350690078	0.15270365896372626	0.06736402781104087	0.07383556497575314	0.10797257300070442	0.12094936850119184	0.19187686273265753	0.14865526427494433	0.16228712429984743	0.1331632092334432	0.11314981126700849	0.1428989804618841	0.1988248332848666	0.2296736322135835	0.16041285617051199	0.18218476228830446	0.20187871213739028	0.16426607380573824	0.16042765666450193	0.26933995783369147	0.7669026932746923	1.0509719623178675	1.0009524841295678	1.0376546601229084	0.9658997765843085	0.20552381403426667	0.169402447820696	0.25336855831215355	0.21120738068674072	0.2158820132955222	0.17738659902739684	0.28281683615379255	0.18257028641805315	0.21977146272423193	0.17772804216127888	0.2975531188116858	0.24351092141501818	0.2560991735105651	0.2469514440434588	0.20977344107659318	0.28321630726629826	0.19990212430051407	0.1857223277643471	0.2026388645637257	0.10111473349271283	0.1640055830744886	0.1488420752750526	0.1503111141218551	0.1550567466692886	0.10235853151815286	0.10813576093864817	0.13840975161784974	0.0868223717778642	0.10333997002556798	0.07600062483583768
f3pp	0.08224856002301319	0.0	0.04770421325284446	0.08208042281459622	0.14700863233171862	0.06166900117903322	0.06814053834374549	0.10227754636869678	0.1152543418691842	0.18618183610064987	0.1429602376429367	0.15659209766783977	0.12746818260143555	0.10745478463500084	0.13720395382987643	0.19312980665285895	0.22397860558157584	0.15471782953850433	0.17648973565629683	0.19618368550538262	0.1585710471737306	0.15473263003249427	0.2636449312016838	0.7612076666426846	1.04527693568586	0.9952574574975601	1.0319596334909007	0.9602047499523008	0.199828787402259	0.16370742118868836	0.2476735316801459	0.20551235405473306	0.21018698666351454	0.17169157239538918	0.2771218095217849	0.1768752597860455	0.21407643609222426	0.17203301552927125	0.2918580921796782	0.23781589478301052	0.25040414687855744	0.24125641741145115	0.20407841444458552	0.2775212806342906	0.1942070976685064	0.18002730113233945	0.19694383793171805	0.09541970686070517	0.15831055644248093	0.14314704864304495	0.14461608748984744	0.14936172003728093	0.09666350488614521	0.10244073430664052	0.13271472498584208	0.1004078365900227	0.11692543483772648	0.08958608964799618
f14ppB	0.081991933945149	0.04770421325284446	0.0	0.06674926042922512	0.14675200625385443	0.061412375101169044	0.06788391226588131	0.1020209202908326	0.11499771579132001	0.1859252100227857	0.1427036115650725	0.1563354715899756	0.12721155652357138	0.10719815855713666	0.13694732775201227	0.19287318057499478	0.22372197950371167	0.15446120346064016	0.17623310957843263	0.19592705942751845	0.1583144210958664	0.1544760039546301	0.26338830512381967	0.7609510405648204	1.0450203096079957	0.995000831419696	1.0317030074130367	0.9599481238744366	0.19957216132439484	0.16345079511082417	0.24741690560228172	0.2052557279768689	0.20993036058565037	0.171434946317525	0.27686518344392075	0.17661863370818132	0.2138198100143601	0.17177638945140705	0.291601466101814	0.23755926870514635	0.2501475208006933	0.24099979133358698	0.20382178836672135	0.27726465455642646	0.19395047159064224	0.17977067505447528	0.19668721185385388	0.095163080782841	0.15805393036461676	0.14289042256518078	0.14435946141198328	0.14910509395941676	0.09640687880828103	0.10218410822877635	0.1324580989079779	0.10015121051215853	0.11666880875986231	0.08932946357013201
f23ppB	0.11636814350690078	0.08208042281459622	0.06674926042922512	0.0	0.1811282158156062	0.09578858466292081	0.10226012182763308	0.13639712985258437	0.14937392535307178	0.22030141958453747	0.17707982112682427	0.19071168115172737	0.16158776608532316	0.14157436811888843	0.17132353731376404	0.22724939013674655	0.25809818906546345	0.18883741302239193	0.2106093191401844	0.23030326898927023	0.19269063065761818	0.18885221351638187	0.2977645146855714	0.7953272501265722	1.0793965191697474	1.0293770409814478	1.0660792169747884	0.9943243334361884	0.23394837088614662	0.19782700467257594	0.2817931151640335	0.23963193753862067	0.24430657014740215	0.20581115587927679	0.3112413930056725	0.2109948432699331	0.24819601957611187	0.20615259901315883	0.3259776756635657	0.2719354782668981	0.28452373036244505	0.27537600089533876	0.23819799792847313	0.3116408641181782	0.22832668115239402	0.21414688461622705	0.23106342141560565	0.12953929034459277	0.19243013992636854	0.17726663212693256	0.17873567097373505	0.18348130352116854	0.1307830883700328	0.13656031779052813	0.1668343084697297	0.1345274200739103	0.1510450183216141	0.12370567313188378
f22ppB	0.15270365896372626	0.14700863233171862	0.14675200625385443	0.1811282158156062	0.0	0.08853238833273071	0.10736851911943655	0.14150552714438785	0.15448232264487527	0.22540981687634093	0.18218821841862776	0.19582007844353083	0.16669616337712662	0.14668276541069192	0.1764319346055675	0.23235778742855	0.2632065863572669	0.1939458103141954	0.2157177164319879	0.23541166628107368	0.19779902794942167	0.19396061080818536	0.30287291197737487	0.8004356474183758	1.084504916461551	1.0344854382732513	1.071187614266592	0.999432730727992	0.23905676817795007	0.20293540196437942	0.28690151245583695	0.24474033483042412	0.2494149674392056	0.21091955317108024	0.31634979029747595	0.21610324056173658	0.2533044168679153	0.2112609963049623	0.33108607295536924	0.2770438755587016	0.2896321276542485	0.2804843981871422	0.24330639522027658	0.31674926140998166	0.23343507844419747	0.2192552819080305	0.2361718187074091	0.13464768763639623	0.19753853721817202	0.18237502941873604	0.19202120260587086	0.19676683515330434	0.1440686200021686	0.1498458494226639	0.1801198401018655	0.17086293553073578	0.18738053377843958	0.16004118858870928
f21pp	0.06736402781104087	0.06166900117903322	0.061412375101169044	0.09578858466292081	0.08853238833273071	0.0	0.022028887966751155	0.05616589599170244	0.06914269149218986	0.14007018572365554	0.09684858726594235	0.11048044729084544	0.08135653222444122	0.061343134258006506	0.0910923034528821	0.14701815627586462	0.1778669552045815	0.10860617916151	0.13037808527930247	0.1500720351283883	0.11245939679673626	0.10862097965549995	0.21753328082468948	0.7150960162656903	0.9991652853088655	0.9491458071205658	0.9858479831139064	0.9140930995753065	0.15371713702526468	0.11759577081169402	0.20156188130315156	0.15940070367773873	0.1640753362865202	0.12557992201839485	0.23101015914479056	0.13076360940905116	0.16796478571522994	0.12592136515227692	0.24574644180268385	0.1917042444060162	0.20429249650156311	0.19514476703445682	0.1579667640675912	0.23140963025729627	0.14809544729151208	0.13391565075534512	0.15083218755472372	0.04930805648371084	0.11219890606548662	0.09703539826605063	0.10668157145318545	0.11142720400061894	0.0587289888494832	0.06450621826997852	0.09478020894918009	0.08552330437805039	0.10204090262575416	0.07470155743602386
f7pp	0.07383556497575314	0.06814053834374549	0.06788391226588131	0.10226012182763308	0.10736851911943655	0.022028887966751155	0.0	0.0439321702893576	0.06361802571066068	0.13454551994212632	0.09132392148441316	0.10495578150931625	0.07583186644291204	0.05581846847647731	0.08556763767135292	0.1414934904943354	0.17234228942305233	0.10308151337998081	0.12485341949777329	0.14454736934685908	0.10693473101520708	0.10309631387397077	0.21200861504316026	0.7095713504841612	0.9936406195273364	0.9436211413390367	0.9803233173323773	0.9085684337937774	0.1481924712437355	0.11207110503016483	0.19603721552162234	0.15387603789620954	0.158550670504991	0.12005525623686567	0.22548549336326135	0.12523894362752197	0.16244011993370075	0.12039669937074772	0.24022177602115463	0.186179578624487	0.1987678307200339	0.1896201012529276	0.15244209828606198	0.22588496447576706	0.1425707815099829	0.1283909849738159	0.14530752177319453	0.043783390702181645	0.10667424028395743	0.09151073248452145	0.11315310861789771	0.1178987411653312	0.06520052601419547	0.07097775543469079	0.10125174611389234	0.09199484154276266	0.10851243979046644	0.08117309460073614
f12ppA	0.10797257300070442	0.10227754636869678	0.1020209202908326	0.13639712985258437	0.14150552714438785	0.05616589599170244	0.0439321702893576	0.0	0.09775503373561197	0.1686825279670776	0.12546092950936444	0.13909278953426754	0.10996887446786333	0.0899554765014286	0.11970464569630421	0.1756304985192867	0.2064792974480036	0.1372185214049321	0.15899042752272458	0.17868437737181037	0.14107173904015835	0.13723332189892207	0.24614562306811155	0.7437083585091124	1.0277776275522876	0.977758149363988	1.0144603253573286	0.9427054418187286	0.18232947926868678	0.1462081130551161	0.23017422354657363	0.18801304592116083	0.19268767852994229	0.15419226426181695	0.25962250138821263	0.15937595165247326	0.19657712795865204	0.154533707395699	0.2743587840461059	0.2203165866494383	0.2329048387449852	0.2237571092778789	0.18657910631101327	0.26002197250071835	0.17670778953493418	0.1625279929987672	0.17944452979814582	0.07792039872713294	0.14081124830890873	0.12564774050947275	0.147290116642849	0.15203574919028248	0.09933753403914676	0.10511476345964207	0.13538875413884363	0.12613184956771395	0.14264944781541772	0.11531010262568743
f32pp	0.12094936850119184	0.1152543418691842	0.11499771579132001	0.14937392535307178	0.15448232264487527	0.06914269149218986	0.06361802571066068	0.09775503373561197	0.0	0.15889075066579278	0.11566915220807963	0.12930101223298274	0.10017709716657851	0.08016369920014378	0.10991286839501939	0.1658387212180019	0.1966875201467188	0.1274267441036473	0.14919865022143974	0.16889260007052553	0.13127996173887355	0.12744154459763724	0.23635384576682672	0.7339165812078275	1.0179858502510029	0.9679663720627031	1.0046685480560438	0.9329136645174438	0.17253770196740198	0.1364163357538313	0.2203824462452888	0.17822126861987603	0.18289590122865745	0.14440048696053215	0.2498307240869278	0.14958417435118843	0.18678535065736723	0.1447419300944142	0.2645670067448211	0.21052480934815349	0.22311306144370036	0.21396533197659406	0.17678732900972843	0.2502301951994335	0.16691601223364938	0.15273621569748239	0.16965275249686101	0.06812862142584811	0.1310194710076239	0.11585596320818792	0.16026691214333644	0.16501254469076992	0.11231432953963419	0.11809155896012949	0.14836554963933107	0.13910864506820136	0.15562624331590513	0.12828689812617483
f20ppA	0.19187686273265753	0.18618183610064987	0.1859252100227857	0.22030141958453747	0.22540981687634093	0.14007018572365554	0.13454551994212632	0.1686825279670776	0.15889075066579278	0.0	0.10195237679137713	0.13546837503915832	0.10634645997375416	0.10055553119899138	0.130304700393867	0.18623055321684948	0.2170793521455664	0.14781857610249488	0.16959048222028733	0.18928443206937312	0.15167179373772113	0.14783337659648482	0.25674567776567436	0.7543084132066751	1.0383776822498503	0.9883582040615506	1.0250603800548912	0.9533054965162915	0.19292953396624954	0.1568081677526789	0.2407742782441364	0.1986131006187236	0.20328773322750504	0.16479231895937974	0.2702225560857754	0.169976006350036	0.20717718265621482	0.16513376209326178	0.2849588387436687	0.23091664134700107	0.24350489344254797	0.23435716397544168	0.19717916100857602	0.2706220271982811	0.18730784423249697	0.17312804769632997	0.1900445844957086	0.11776629916927295	0.18065714875104874	0.16549364095161276	0.2311944063748021	0.23594003892223558	0.18324182377109985	0.18901905319159518	0.21929304387079673	0.21003613929966705	0.22655373754737085	0.19921439235764055
f20ppB	0.14865526427494433	0.1429602376429367	0.1427036115650725	0.17707982112682427	0.18218821841862776	0.09684858726594235	0.09132392148441316	0.12546092950936444	0.11566915220807963	0.10195237679137713	0.0	0.09224677658144516	0.06312486151604102	0.05733393274127823	0.08708310193615383	0.14300895475913633	0.17385775368785325	0.10459697764478172	0.1263688837625742	0.14606283361166	0.10845019528000799	0.10461177813877168	0.2135240793079612	0.711086814748962	0.9951560837921372	0.9451366056038375	0.9818387815971781	0.9100838980585783	0.1497079355085364	0.11358656929496574	0.19755267978642327	0.15539150216101044	0.16006613476979192	0.12157072050166658	0.22700095762806227	0.1267544078923229	0.16395558419850167	0.12191216363554863	0.24173724028595556	0.18769504288928793	0.20028329498483483	0.19113556551772853	0.1539575625508629	0.22740042874056798	0.1440862457747838	0.12990644923861683	0.14682298603799543	0.0745447007115598	0.1374355502933356	0.12227204249389961	0.18797280791708892	0.1927184404645224	0.14002022531338668	0.14579745473388198	0.17607144541308356	0.16681454084195385	0.18333213908965765	0.15599279389992735
f15pp	0.16228712429984743	0.15659209766783977	0.1563354715899756	0.19071168115172737	0.19582007844353083	0.11048044729084544	0.10495578150931625	0.13909278953426754	0.12930101223298274	0.13546837503915832	0.09224677658144516	0.0	0.0767567215409441	0.07096579276618131	0.10071496196105692	0.1566408147840394	0.18748961371275635	0.11822883766968481	0.1400007437874773	0.15969469363656308	0.12208205530491108	0.11824363816367477	0.22715593933286427	0.7247186747738651	1.0087879438170402	0.9587684656287406	0.9954706416220812	0.9237157580834814	0.16333979553343947	0.12721842931986882	0.21118453981132634	0.16902336218591352	0.173697994794695	0.13520258052656967	0.24063281765296535	0.14038626791722597	0.17758744422340478	0.1355440236604517	0.25536910031085863	0.20132690291419103	0.2139151550097379	0.2047674255426316	0.16758942257576598	0.24103228876547106	0.1577181057996869	0.1435383092635199	0.16045484606289853	0.08817656073646289	0.15106741031823867	0.1359039025188027	0.201604667941992	0.2063503004894255	0.15365208533828975	0.15942931475878508	0.18970330543798664	0.18044640086685695	0.19696399911456075	0.16962465392483045
f11pp	0.1331632092334432	0.12746818260143555	0.12721155652357138	0.16158776608532316	0.16669616337712662	0.08135653222444122	0.07583186644291204	0.10996887446786333	0.10017709716657851	0.10634645997375416	0.06312486151604102	0.0767567215409441	0.0	0.04184187769977711	0.0715910468946527	0.12751689971763522	0.15836569864635214	0.0891049226032806	0.11087682872107307	0.13057077857015886	0.09295814023850688	0.08911972309727056	0.19803202426646008	0.6955947597074609	0.9796640287506361	0.9296445505623364	0.966346726555677	0.8945918430170772	0.13421588046703528	0.09809451425346463	0.18206062474492216	0.13989944711950933	0.14457407972829078	0.10607866546016545	0.21150890258656116	0.11126235285082176	0.14846352915700056	0.10642010859404752	0.22624518524445444	0.17220298784778681	0.1847912399433337	0.17564351047622742	0.13846550750936176	0.21190837369906687	0.12859419073328268	0.11441439419711572	0.13133093099649432	0.05905264567005868	0.12194349525183447	0.10677998745239849	0.17248075287558778	0.17722638542302127	0.12452817027188554	0.13030539969238086	0.16057939037158242	0.1513224858004527	0.1678400840481565	0.1405007388584262
f14ppA	0.11314981126700849	0.10745478463500084	0.10719815855713666	0.14157436811888843	0.14668276541069192	0.061343134258006506	0.05581846847647731	0.0899554765014286	0.08016369920014378	0.10055553119899138	0.05733393274127823	0.07096579276618131	0.04184187769977711	0.0	0.03821831701057158	0.09414416983355407	0.12499296876227098	0.05573219271919947	0.07750409883699194	0.09719804868607773	0.05958541035442574	0.055746993213189426	0.16465929438237892	0.6622220298233797	0.9462912988665549	0.8962718206782553	0.9329739966715959	0.861219113132996	0.10084315058295414	0.06472178436938349	0.148687894860841	0.10652671723542818	0.11120134984420965	0.07270593557608432	0.17813617270248	0.07788962296674062	0.11509079927291942	0.07304737870996637	0.19287245536037328	0.13883025796370566	0.15141851005925255	0.14227078059214626	0.10509277762528063	0.1785356438149857	0.09522146084920155	0.08104166431303457	0.09795820111241318	0.03903924770362396	0.10193009728539974	0.08676658948596376	0.15246735490915306	0.15721298745658654	0.10451477230545082	0.11029200172594614	0.1405659924051477	0.131309087834018	0.14782668608172178	0.12048734089199149
w19pp	0.1428989804618841	0.13720395382987643	0.13694732775201227	0.17132353731376404	0.1764319346055675	0.0910923034528821	0.08556763767135292	0.11970464569630421	0.10991286839501939	0.130304700393867	0.08708310193615383	0.10071496196105692	0.0715910468946527	0.03821831701057158	0.0	0.06500569774066416	0.09585449666938106	0.026593720626309533	0.06198212170159429	0.0816760715506801	0.04406343321902808	0.05166028399509702	0.16718001784053832	0.6647427532815391	0.9488120223247143	0.8987925441364146	0.9354947201297552	0.8637398365911554	0.10336387404111354	0.06724250782754287	0.1512086183190004	0.10904744069358759	0.11372207330236905	0.07522665903424372	0.1806568961606394	0.08041034642490003	0.11761152273107882	0.07556810216812576	0.1953931788185327	0.14135098142186503	0.15393923351741196	0.14479150405030566	0.10761350108344003	0.1810563672731451	0.09774218430736095	0.08356238777119397	0.10047892457057259	0.06878841689849956	0.13167926648027534	0.11651575868083935	0.18221652410402867	0.18696215665146215	0.13426394150032642	0.14004117092082174	0.1703151616000233	0.1610582570288936	0.1775758552765974	0.1502365100868671
w32pp	0.1988248332848666	0.19312980665285895	0.19287318057499478	0.22724939013674655	0.23235778742855	0.14701815627586462	0.1414934904943354	0.1756304985192867	0.1658387212180019	0.18623055321684948	0.14300895475913633	0.1566408147840394	0.12751689971763522	0.09414416983355407	0.06500569774066416	0.0	0.1386394916734745	0.06937871563040299	0.1179079745245768	0.1376019243736626	0.09998928604201059	0.10758613681807952	0.2231058706635208	0.7206686061045217	1.0047378751476967	0.9547183969593972	0.9914205729527378	0.919665689414138	0.15928972686409604	0.12316836065052539	0.20713447114198288	0.16497329351657009	0.16964792612535157	0.1311525118572262	0.2365827489836219	0.13633619924788254	0.17353737555406132	0.13149395499110828	0.25131903164151514	0.19727683424484754	0.20986508634039444	0.20071735687328815	0.16353935390642255	0.2369822200961276	0.15366803713034344	0.13948824059417647	0.15640477739355507	0.12471426972148206	0.18760511930325785	0.17244161150382187	0.23814237692701118	0.24288800947444467	0.19018979432330893	0.19596702374380426	0.22624101442300582	0.21698410985187613	0.23350170809957993	0.20616236290984963
w21pp	0.2296736322135835	0.22397860558157584	0.22372197950371167	0.25809818906546345	0.2632065863572669	0.1778669552045815	0.17234228942305233	0.2064792974480036	0.1966875201467188	0.2170793521455664	0.17385775368785325	0.18748961371275635	0.15836569864635214	0.12499296876227098	0.09585449666938106	0.1386394916734745	0.0	0.10022551455811983	0.1487567734532937	0.1684507233023795	0.1308380849707275	0.13843493574679644	0.2539546695922377	0.7515174050332385	1.0355866740764137	0.985567195888114	1.0222693718814546	0.9505144883428548	0.19013852579281293	0.15401715957924228	0.2379832700706998	0.19582209244528698	0.20049672505406846	0.16200131078594313	0.2674315479123388	0.16718499817659943	0.20438617448277824	0.16234275391982517	0.2821678305702321	0.22812563317356443	0.24071388526911136	0.23156615580200507	0.19438815283513944	0.2678310190248445	0.18451683605906036	0.17033703952289336	0.187253576322272	0.15556306865019898	0.21845391823197474	0.20329041043253876	0.26899117585572807	0.27373680840316156	0.22103859325202582	0.22681582267252115	0.2570898133517227	0.24783290878059303	0.2643505070282968	0.23701116183856652
